epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.706939697265625,44.09448818897638,0.6887494255514706,57.57575757575758
2,0.68389892578125,52.75590551181102,0.6824161305147058,48.484848484848484
3,0.6341352462768555,62.20472440944882,0.5704381606158089,69.6969696969697
4,0.5337834358215332,74.80314960629921,0.6424488740808824,54.54545454545455
5,0.5306644439697266,74.80314960629921,0.5000825769761029,84.84848484848484
6,0.5121428966522217,71.65354330708661,0.4798583984375,84.84848484848484
7,0.45480501651763916,78.74015748031496,0.5455681295955882,66.66666666666667
8,0.40389156341552734,81.88976377952756,0.6095186121323529,63.63636363636363
9,0.26628299057483673,90.55118110236221,0.4800729190602022,69.6969696969697
10,0.2298198938369751,92.1259842519685,0.45140883501838236,90.9090909090909
11,0.06243991572409868,98.4251968503937,0.36463210161994486,93.93939393939394
12,0.09453688655048609,96.85039370078741,0.39075784122242646,84.84848484848484
13,0.16130162123590708,96.06299212598425,0.43567747228285847,78.78787878787878
14,0.3291913606226444,88.18897637795276,0.5452025918399587,69.6969696969697
15,0.055252110585570335,99.21259842519684,0.3280208812040441,84.84848484848484
16,0.009908515959978104,100.0,0.28107763739193187,90.9090909090909
17,0.07030617352575064,96.85039370078741,0.7746801797081443,75.75757575757575
18,0.011270406655967236,100.0,0.6087094615487492,78.78787878787878
19,0.008101725950837135,100.0,0.625769085743848,81.81818181818181
20,0.0015334812924265862,100.0,0.6157072957824258,81.81818181818181
21,0.01924932561814785,99.21259842519684,2.749904050546534,60.60606060606061
22,0.1774493046104908,95.2755905511811,1.166894842596615,63.63636363636363
23,0.07340334169566631,96.85039370078741,0.5953208383391885,72.72727272727273
24,0.006262236274778843,100.0,0.49281088394277234,78.78787878787878
25,0.0056892698630690575,100.0,0.9363961850895601,75.75757575757575
