epoch,train_loss,train_acc,val_loss,val_acc
1,0.7116489410400391,49.60629921259842,0.6949821920955882,48.484848484848484
2,0.6871147155761719,57.48031496062992,0.6777774586397058,48.484848484848484
3,0.6386985778808594,67.71653543307086,0.63299560546875,60.60606060606061
4,0.5443847179412842,70.86614173228347,1.0920858944163603,48.484848484848484
5,0.5231554508209229,70.07874015748031,0.9190189137178308,48.484848484848484
6,0.47013211250305176,78.74015748031496,0.6408942727481618,54.54545454545455
7,0.34485292434692383,85.8267716535433,0.7236166561351103,54.54545454545455
8,0.3166828155517578,86.61417322834646,1.0509912827435661,48.484848484848484
9,0.32889091968536377,86.61417322834646,0.8567648494944853,54.54545454545455
10,0.3394423723220825,83.46456692913385,1.3927890553193933,51.515151515151516
11,0.2021675556898117,93.7007874015748,0.40140309053308826,78.78787878787878
12,0.3064093319699168,89.76377952755905,1.0015707576976103,63.63636363636363
13,0.08014292269945145,97.63779527559055,1.0105825311997358,66.66666666666667
14,0.10093836393207312,95.2755905511811,0.3554830270655015,84.84848484848484
15,0.03075640182942152,99.21259842519684,0.5737617717069738,72.72727272727273
16,0.24996252451092005,94.48818897637796,0.36097018858965707,81.81818181818181
17,0.09408836346119642,96.06299212598425,0.9963070259374731,75.75757575757575
18,0.13263588771224022,95.2755905511811,0.8734103756792405,60.60606060606061
19,0.24251861590892076,92.1259842519685,0.68950013553395,75.75757575757575
20,0.03284734394401312,98.4251968503937,0.6559624531689812,75.75757575757575
21,0.011477865278720856,100.0,0.2285634664928212,87.87878787878788
22,0.014708911068737507,100.0,0.8948046389748069,72.72727272727273
23,0.07318722456693649,96.06299212598425,0.7274833777371574,72.72727272727273
24,0.0550501449033618,98.4251968503937,0.8684926243389354,69.6969696969697
25,0.09200300835072994,95.2755905511811,0.3831428008921006,84.84848484848484
